Article Link,Article Name,DateTime,Site Name
https://news.google.com/articles/CBMiW2h0dHBzOi8vd3d3LmJiYy5jb20vZnV0dXJlL2FydGljbGUvMjAyNDA2MTktdGhlLWFwcGxlLWRldGVjdGl2ZXMtaHVudGluZy1mb3ItbG9zdC12YXJpZXRpZXPSAQA?hl=en-GB&gl=GB&ceid=GB%3Aen,The apple detectives hunting for lost varieties,2024-06-19 13:06:43,bbc
https://news.google.com/articles/CBMiMGh0dHBzOi8vd3d3LmJiYy5jb20vcGlkZ2luL2FydGljbGVzL2M5ODg5NXIxNDd2b9IBNGh0dHBzOi8vd3d3LmJiYy5jb20vcGlkZ2luL2FydGljbGVzL2M5ODg5NXIxNDd2by5hbXA?hl=en-GB&gl=GB&ceid=GB%3Aen,"Nvidia: How Nvidia beat Apple, Amazon, Microsoft, odas to become world most valuable company",2024-06-19 10:51:56,bbc
https://news.google.com/articles/CBMiLmh0dHBzOi8vd3d3LmJiYy5jb20vbmV3cy9hcnRpY2xlcy9jMjU1eTgyeTl4OG_SATJodHRwczovL3d3dy5iYmMuY29tL25ld3MvYXJ0aWNsZXMvYzI1NXk4Mnk5eDhvLmFtcA?hl=en-GB&gl=GB&ceid=GB%3Aen,Technology giant Apple scraps its Pay Later loan scheme in US,2024-06-18 03:24:02,bbc
https://news.google.com/articles/CBMiLmh0dHBzOi8vd3d3LmJiYy5jb20vbmV3cy9hcnRpY2xlcy9jOTl6eHpqcXcya2_SATJodHRwczovL3d3dy5iYmMuY29tL25ld3MvYXJ0aWNsZXMvYzk5enh6anF3MmtvLmFtcA?hl=en-GB&gl=GB&ceid=GB%3Aen,Apple sales fall in nearly all markets,2024-05-03 07:00:00,bbc
https://news.google.com/articles/CBMiLmh0dHBzOi8vd3d3LmJiYy5jb20vbmV3cy9hcnRpY2xlcy9jNG5uNW1lamw4OW_SATJodHRwczovL3d3dy5iYmMuY29tL25ld3MvYXJ0aWNsZXMvYzRubjVtZWpsODlvLmFtcA?hl=en-GB&gl=GB&ceid=GB%3Aen,Apple Intelligence: ChatGPT coming to iPhones in AI overhaul,2024-06-11 07:00:00,bbc
https://news.google.com/articles/CBMiLmh0dHBzOi8vd3d3LmJiYy5jb20vbmV3cy9hcnRpY2xlcy9jcmdneng4NjV2ZG_SATJodHRwczovL3d3dy5iYmMuY29tL25ld3MvYXJ0aWNsZXMvY3JnZ3p4ODY1dmRvLmFtcA?hl=en-GB&gl=GB&ceid=GB%3Aen,Milborne St Andrew villagers bake 'biggest' Dorset apple cake,2024-06-03 07:00:00,bbc
https://news.google.com/articles/CBMiLmh0dHBzOi8vd3d3LmJiYy5jb20vbmV3cy9hcnRpY2xlcy9jNnBwcWQzajYyMW_SAQA?hl=en-GB&gl=GB&ceid=GB%3Aen,"Nvidia value hits $3tn, overtaking Apple",2024-06-05 07:00:00,bbc
https://news.google.com/articles/CBMiLmh0dHBzOi8vd3d3LmJiYy5jb20vbmV3cy9hcnRpY2xlcy9jNG4xbDl6amt6d2_SATJodHRwczovL3d3dy5iYmMuY29tL25ld3MvYXJ0aWNsZXMvYzRuMWw5emprendvLmFtcA?hl=en-GB&gl=GB&ceid=GB%3Aen,Scotland's pink cherry and apple blossom in pictures,2024-04-28 07:00:00,bbc
https://news.google.com/articles/CBMiLGh0dHBzOi8vd3d3LmJiYy5jb20vbmV3cy90ZWNobm9sb2d5LTY2Nzk1MTc10gEwaHR0cHM6Ly93d3cuYmJjLmNvbS9uZXdzL3RlY2hub2xvZ3ktNjY3OTUxNzUuYW1w?hl=en-GB&gl=GB&ceid=GB%3Aen,Apple to update iPhone 12 in France over radiation,2023-09-15 07:00:00,bbc
https://news.google.com/articles/CBMiOWh0dHBzOi8vd3d3LmJiYy5jb20vbmV3cy91ay1lbmdsYW5kLWxpbmNvbG5zaGlyZS02Njk2MTY2MNIBPWh0dHBzOi8vd3d3LmJiYy5jb20vbmV3cy91ay1lbmdsYW5kLWxpbmNvbG5zaGlyZS02Njk2MTY2MC5hbXA?hl=en-GB&gl=GB&ceid=GB%3Aen,Isaac Newton apple tree saplings auction raises more than £30k,2023-09-29 07:00:00,bbc
https://news.google.com/articles/CBMiMGh0dHBzOi8vd3d3LmJiYy5jb20vcGlkZ2luL2FydGljbGVzL2Nla2UxbDExdnowb9IBNGh0dHBzOi8vd3d3LmJiYy5jb20vcGlkZ2luL2FydGljbGVzL2Nla2UxbDExdnowby5hbXA?hl=en-GB&gl=GB&ceid=GB%3Aen,Nutrition: Apple cider vinegar diet - Wetin e be?,2024-03-23 07:00:00,bbc
https://news.google.com/articles/CBMiMGh0dHBzOi8vd3d3LmJiYy5jb20vcGlkZ2luL2FydGljbGVzL2M1MTQ0NXcwNHFlb9IBNGh0dHBzOi8vd3d3LmJiYy5jb20vcGlkZ2luL2FydGljbGVzL2M1MTQ0NXcwNHFlby5hbXA?hl=en-GB&gl=GB&ceid=GB%3Aen,IPhone pro max: Apple say no dey dry your iPhone inside bag of rice,2024-02-21 08:00:00,bbc
https://news.google.com/articles/CBMiKmh0dHBzOi8vd3d3LmJiYy5jb20vbmV3cy9idXNpbmVzcy02ODAxNDYxOdIBLmh0dHBzOi8vd3d3LmJiYy5jb20vbmV3cy9idXNpbmVzcy02ODAxNDYxOS5hbXA?hl=en-GB&gl=GB&ceid=GB%3Aen,Apple watch: US upholds ban on sale over patent dispute,2024-01-17 08:00:00,bbc
https://news.google.com/articles/CBMiKmh0dHBzOi8vd3d3LmJiYy5jb20vbmV3cy9idXNpbmVzcy02NzMwNDI2MNIBLmh0dHBzOi8vd3d3LmJiYy5jb20vbmV3cy9idXNpbmVzcy02NzMwNDI2MC5hbXA?hl=en-GB&gl=GB&ceid=GB%3Aen,Apple sales dip again despite iPhone boost,2023-11-02 07:00:00,bbc
https://news.google.com/articles/CBMiLGh0dHBzOi8vd3d3LmJiYy5jb20vbmV3cy90ZWNobm9sb2d5LTY2OTU0MjY30gEwaHR0cHM6Ly93d3cuYmJjLmNvbS9uZXdzL3RlY2hub2xvZ3ktNjY5NTQyNjcuYW1w?hl=en-GB&gl=GB&ceid=GB%3Aen,Apple to buck layoff trend by hiring UK AI staff,2023-09-29 07:00:00,bbc
https://news.google.com/articles/CBMiKmh0dHBzOi8vd3d3LmJiYy5jb20vbmV3cy9idXNpbmVzcy02NzgyNTU1M9IBLmh0dHBzOi8vd3d3LmJiYy5jb20vbmV3cy9idXNpbmVzcy02NzgyNTU1My5hbXA?hl=en-GB&gl=GB&ceid=GB%3Aen,US lifts ban on imports of latest Apple watch,2023-12-27 08:00:00,bbc
https://news.google.com/articles/CBMiNWh0dHBzOi8vd3d3LmJiYy5jb20vbmV3cy91ay1lbmdsYW5kLXNvbWVyc2V0LTY3MzU1NTA10gE5aHR0cHM6Ly93d3cuYmJjLmNvbS9uZXdzL3VrLWVuZ2xhbmQtc29tZXJzZXQtNjczNTU1MDUuYW1w?hl=en-GB&gl=GB&ceid=GB%3Aen,Somerset: Tonnes of apples wash up after Storm Ciarán,2023-11-08 08:00:00,bbc
https://news.google.com/articles/CBMiLGh0dHBzOi8vd3d3LmJiYy5jb20vbmV3cy90ZWNobm9sb2d5LTY4MzU3MTY10gEwaHR0cHM6Ly93d3cuYmJjLmNvbS9uZXdzL3RlY2hub2xvZ3ktNjgzNTcxNjUuYW1w?hl=en-GB&gl=GB&ceid=GB%3Aen,"Don't dry your iPhone in a bag of rice, says Apple",2024-02-21 08:00:00,bbc
