Date,Time,Open,High,Low,Close,Volume
2023-06-21,04:01:00,125.6,125.6,125.6,125.6,704.0
2023-06-21,04:03:00,125.66,125.66,125.66,125.66,863.0
2023-06-21,04:05:00,125.58,125.58,125.58,125.58,551.0
2023-06-21,04:06:00,125.32,125.35,125.26,125.35,1321.0
2023-06-21,04:08:00,125.69,125.74,125.69,125.74,1665.0
2023-06-21,04:22:00,125.7,125.7,125.7,125.7,957.0
2023-06-21,04:27:00,125.67,125.67,125.67,125.67,541.0
2023-06-21,04:28:00,125.66,125.67,125.66,125.67,560.0
2023-06-21,04:30:00,125.6,125.6,125.6,125.6,530.0
2023-06-21,04:31:00,125.7,125.7,125.66,125.66,1301.0
2023-06-21,04:33:00,125.68,125.68,125.68,125.68,534.0
2023-06-21,04:34:00,125.7,125.7,125.69,125.7,2400.0
2023-06-21,04:35:00,125.7,125.7,125.7,125.7,1173.0
2023-06-21,04:37:00,125.69,125.69,125.69,125.69,304.0
2023-06-21,04:46:00,125.62,125.62,125.62,125.62,241.0
2023-06-21,04:51:00,125.63,125.63,125.62,125.62,526.0
2023-06-21,04:52:00,125.65,125.65,125.65,125.65,731.0
2023-06-21,04:53:00,125.62,125.62,125.62,125.62,427.0
2023-06-21,04:54:00,125.6,125.6,125.5,125.5,3499.0
2023-06-21,05:07:00,125.46,125.46,125.46,125.46,168.0
2023-06-21,05:16:00,125.47,125.47,125.47,125.47,369.0
2023-06-21,05:27:00,125.54,125.55,125.54,125.55,844.0
2023-06-21,05:37:00,125.68,125.68,125.68,125.68,1839.0
2023-06-21,05:43:00,125.66,125.66,125.66,125.66,115.0
2023-06-21,05:59:00,125.74,125.74,125.74,125.74,743.0
2023-06-21,06:10:00,125.74,125.75,125.74,125.75,1130.0
2023-06-21,06:13:00,125.75,125.91,125.75,125.91,4068.0
2023-06-21,06:14:00,125.94,125.94,125.92,125.92,1165.0
2023-06-21,06:17:00,125.91,125.91,125.91,125.91,131.0
2023-06-21,06:18:00,125.77,125.77,125.77,125.77,341.0
2023-06-21,06:20:00,125.93,125.99,125.93,125.99,1490.0
2023-06-21,06:28:00,125.95,125.95,125.95,125.95,100.0
2023-06-21,06:30:00,125.95,125.95,125.95,125.95,199.0
2023-06-21,06:32:00,125.82,125.82,125.82,125.82,513.0
2023-06-21,06:34:00,125.88,125.88,125.88,125.88,178.0
2023-06-21,06:35:00,125.95,125.95,125.95,125.95,153.0
2023-06-21,06:38:00,126.0,126.04,126.0,126.04,3068.0
2023-06-21,06:42:00,126.03,126.03,126.03,126.03,611.0
2023-06-21,06:44:00,126.03,126.03,126.03,126.03,563.0
2023-06-21,06:45:00,125.92,125.99,125.92,125.97,1178.0
2023-06-21,06:53:00,125.99,125.99,125.99,125.99,240.0
2023-06-21,06:56:00,125.99,125.99,125.99,125.99,201.0
2023-06-21,06:58:00,126.0,126.0,126.0,126.0,891.0
2023-06-21,06:59:00,126.0,126.0,126.0,126.0,757.0
2023-06-21,07:00:00,126.0,126.02,126.0,126.02,4194.0
2023-06-21,07:01:00,126.01,126.1,126.01,126.1,4420.0
2023-06-21,07:02:00,126.24,126.26,126.24,126.24,8952.0
2023-06-21,07:03:00,126.17,126.24,126.15,126.24,6178.0
2023-06-21,07:04:00,126.2,126.22,126.2,126.22,2939.0
2023-06-21,07:05:00,126.23,126.23,126.23,126.23,1345.0
2023-06-21,07:06:00,126.19,126.19,126.19,126.19,1224.0
2023-06-21,07:07:00,126.2,126.25,126.2,126.25,1730.0
2023-06-21,07:08:00,126.29,126.4,126.29,126.4,3823.0
2023-06-21,07:09:00,126.4,126.4,126.4,126.4,1427.0
2023-06-21,07:10:00,126.4,126.4,126.3,126.3,2790.0
2023-06-21,07:13:00,126.35,126.35,126.34,126.34,573.0
2023-06-21,07:14:00,126.34,126.35,126.34,126.35,1317.0
2023-06-21,07:15:00,126.3,126.3,126.23,126.23,3336.0
2023-06-21,07:20:00,126.2,126.2,126.2,126.2,596.0
2023-06-21,07:21:00,126.22,126.22,126.22,126.22,559.0
2023-06-21,07:22:00,126.22,126.25,126.22,126.25,730.0
2023-06-21,07:23:00,126.29,126.29,126.29,126.29,620.0
2023-06-21,07:24:00,126.31,126.31,126.31,126.31,1417.0
2023-06-21,07:25:00,126.3,126.3,126.3,126.3,1032.0
2023-06-21,07:26:00,126.3,126.48,126.3,126.38,10460.0
2023-06-21,07:27:00,126.35,126.36,126.35,126.35,2782.0
2023-06-21,07:30:00,126.2,126.25,126.2,126.25,2316.0
2023-06-21,07:32:00,126.27,126.27,126.27,126.27,2207.0
2023-06-21,07:33:00,126.21,126.21,126.21,126.21,1085.0
2023-06-21,07:34:00,126.23,126.23,126.2,126.2,1357.0
2023-06-21,07:35:00,126.13,126.13,126.13,126.13,1078.0
2023-06-21,07:36:00,126.15,126.16,126.15,126.16,946.0
2023-06-21,07:37:00,126.17,126.17,126.17,126.17,1515.0
2023-06-21,07:39:00,126.16,126.16,126.13,126.13,1720.0
2023-06-21,07:40:00,126.14,126.14,126.06,126.06,2856.0
2023-06-21,07:43:00,126.12,126.19,126.12,126.19,1323.0
2023-06-21,07:44:00,126.2,126.25,126.2,126.24,2584.0
2023-06-21,07:45:00,126.24,126.27,126.23,126.27,2431.0
2023-06-21,07:46:00,126.28,126.29,126.25,126.25,742.0
2023-06-21,07:48:00,126.2,126.2,126.2,126.2,169.0
2023-06-21,07:49:00,126.2,126.2,126.2,126.2,659.0
2023-06-21,07:51:00,126.25,126.25,126.25,126.25,1817.0
2023-06-21,07:52:00,126.25,126.25,126.2,126.2,1713.0
2023-06-21,07:55:00,126.24,126.26,126.24,126.26,1822.0
2023-06-21,08:00:00,126.2,126.48,125.78,126.16,40636.0
2023-06-21,08:01:00,126.09,126.12,125.17,125.55,8568.0
2023-06-21,08:02:00,125.6,126.19,125.22,126.19,7972.0
2023-06-21,08:03:00,126.16,126.16,126.1002,126.15,1584.0
2023-06-21,08:04:00,126.1,126.1,126.1,126.1,936.0
2023-06-21,08:05:00,126.1001,126.1001,126.1,126.1,964.0
2023-06-21,08:06:00,126.06,126.06,125.95,125.95,1967.0
2023-06-21,08:07:00,125.91,125.93,125.91,125.93,516.0
2023-06-21,08:08:00,125.99,126.0,125.99,126.0,2196.0
2023-06-21,08:09:00,126.02,126.06,125.99,126.03,4673.0
2023-06-21,08:10:00,126.0,126.04,125.99,126.04,4750.0
2023-06-21,08:11:00,126.03,126.03,126.0,126.0,1473.0
2023-06-21,08:12:00,126.0,126.0299,125.95,125.95,2624.0
2023-06-21,08:13:00,125.95,125.95,125.8807,125.8807,1997.0
2023-06-21,08:14:00,125.8914,125.8914,125.89,125.89,408.0
2023-06-21,08:15:00,125.94,125.94,125.8902,125.94,2071.0
2023-06-21,08:17:00,126.0691,126.0691,126.0691,126.0691,939.0
2023-06-21,08:19:00,126.0,126.0,125.98,125.9806,10494.0
2023-06-21,08:20:00,126.04,126.04,126.04,126.04,974.0
2023-06-21,08:21:00,125.98,125.98,125.95,125.95,11221.0
2023-06-21,08:22:00,125.97,126.0099,125.97,126.0099,2014.0
2023-06-21,08:23:00,125.99,126.01,125.99,126.01,1531.0
2023-06-21,08:24:00,126.04,126.09,126.04,126.08,2901.0
2023-06-21,08:25:00,126.05,126.06,126.0,126.01,2717.0
2023-06-21,08:26:00,126.05,126.05,126.05,126.05,771.0
2023-06-21,08:27:00,126.05,126.05,125.85,125.85,12452.0
2023-06-21,08:28:00,125.95,125.95,125.95,125.95,974.0
2023-06-21,08:29:00,125.86,125.95,125.86,125.95,1198.0
2023-06-21,08:30:00,125.89,125.96,125.8,125.96,11349.0
2023-06-21,08:31:00,125.95,125.95,125.95,125.95,918.0
2023-06-21,08:32:00,125.89,125.9676,125.89,125.95,1650.0
2023-06-21,08:33:00,125.95,125.96,125.91,125.915,10478.0
2023-06-21,08:34:00,125.91,125.91,125.85,125.88,2757.0
2023-06-21,08:35:00,125.9,125.9,125.83,125.85,2985.0
2023-06-21,08:36:00,125.824,125.9,125.8,125.9,3423.0
2023-06-21,08:37:00,125.9,126.04,125.9,126.04,4148.0
2023-06-21,08:38:00,126.03,126.06,125.99,126.06,2381.0
2023-06-21,08:39:00,126.05,126.16,126.05,126.15,10867.0
2023-06-21,08:40:00,126.2417,126.25,126.22,126.25,4871.0
2023-06-21,08:41:00,126.25,126.25,126.14,126.14,8164.0
2023-06-21,08:42:00,126.1,126.1099,126.1,126.1099,521.0
2023-06-21,08:43:00,126.11,126.16,126.11,126.15,1729.0
2023-06-21,08:44:00,126.17,126.17,126.14,126.14,8039.0
2023-06-21,08:45:00,126.05,126.09,126.03,126.03,2061.0
2023-06-21,08:47:00,126.0607,126.0607,126.0607,126.0607,755.0
2023-06-21,08:48:00,126.06,126.07,126.06,126.07,13178.0
2023-06-21,08:49:00,126.05,126.09,126.05,126.09,1174.0
2023-06-21,08:50:00,126.11,126.12,126.09,126.09,1642.0
2023-06-21,08:51:00,126.08,126.09,126.02,126.02,2559.0
2023-06-21,08:52:00,125.96,125.96,125.96,125.96,327.0
2023-06-21,08:53:00,126.0,126.02,125.96,125.99,3778.0
2023-06-21,08:54:00,125.97,125.97,125.96,125.96,1712.0
2023-06-21,08:55:00,125.9,125.99,125.9,125.9,1826.0
2023-06-21,08:56:00,125.97,126.04,125.97,126.04,1815.0
2023-06-21,08:57:00,126.06,126.097,126.01,126.02,2434.0
2023-06-21,08:58:00,126.0,126.0,125.95,125.97,2704.0
2023-06-21,08:59:00,125.95,125.95,125.9,125.94,2598.0
2023-06-21,09:00:00,125.94,125.94,125.92,125.92,772.0
2023-06-21,09:01:00,125.95,125.95,125.92,125.93,1808.0
2023-06-21,09:02:00,125.9,125.9,125.8,125.85,3876.0
2023-06-21,09:03:00,125.84,125.85,125.84,125.84,2105.0
2023-06-21,09:04:00,125.87,125.9199,125.87,125.9199,5368.0
2023-06-21,09:06:00,125.87,125.89,125.81,125.89,4712.0
2023-06-21,09:07:00,125.87,125.87,125.75,125.77,6664.0
2023-06-21,09:08:00,125.79,125.84,125.79,125.8,1998.0
2023-06-21,09:09:00,125.75,125.81,125.75,125.75,3737.0
2023-06-21,09:10:00,125.75,125.75,125.6102,125.64,13245.0
2023-06-21,09:11:00,125.68,125.68,125.68,125.68,273.0
2023-06-21,09:12:00,125.68,125.68,125.64,125.68,2633.0
2023-06-21,09:13:00,125.68,125.68,125.64,125.68,3687.0
2023-06-21,09:14:00,125.65,125.65,125.61,125.65,2382.0
2023-06-21,09:15:00,125.67,125.68,125.66,125.66,5340.0
2023-06-21,09:16:00,125.66,125.66,125.65,125.66,2241.0
2023-06-21,09:17:00,125.6101,125.65,125.6101,125.65,849.0
2023-06-21,09:18:00,125.63,125.63,125.6,125.6,4157.0
2023-06-21,09:19:00,125.55,125.57,125.51,125.55,2735.0
2023-06-21,09:20:00,125.56,125.61,125.56,125.6,2402.0
2023-06-21,09:21:00,125.63,125.63,125.52,125.56,4096.0
2023-06-21,09:22:00,125.63,125.68,125.6,125.65,9030.0
2023-06-21,09:23:00,125.65,125.65,125.6,125.6,4541.0
2023-06-21,09:24:00,125.6365,125.65,125.6365,125.64,5783.0
2023-06-21,09:25:00,125.53,125.65,125.52,125.59,11892.0
2023-06-21,09:26:00,125.65,125.65,125.55,125.65,4651.0
2023-06-21,09:27:00,125.6004,125.65,125.5,125.65,10005.0
2023-06-21,09:28:00,125.55,125.55,125.55,125.55,3156.0
2023-06-21,09:29:00,125.55,125.65,125.55,125.65,24583.0
2023-06-21,09:30:00,125.64,125.83,125.1,125.32,1034687.0
2023-06-21,09:31:00,125.34,125.93,125.13,125.93,272282.0
2023-06-21,09:32:00,125.85,126.0,125.62,125.77,264553.0
2023-06-21,09:33:00,125.77,125.86,125.57,125.71,275732.0
2023-06-21,09:34:00,125.71,126.22,125.68,126.05,402400.0
2023-06-21,09:35:00,126.02,126.4589,125.985,126.42,363159.0
2023-06-21,09:36:00,126.42,126.67,126.1701,126.551,356644.0
2023-06-21,09:37:00,126.5411,126.73,126.29,126.35,331316.0
2023-06-21,09:38:00,126.341,126.58,126.2505,126.2505,184124.0
2023-06-21,09:39:00,126.25,126.35,126.1,126.28,233271.0
2023-06-21,09:40:00,126.32,126.56,126.18,126.52,257097.0
2023-06-21,09:41:00,126.5189,126.5189,126.29,126.34,171547.0
2023-06-21,09:42:00,126.34,126.41,126.19,126.2044,149596.0
2023-06-21,09:43:00,126.2,126.39,126.025,126.09,238539.0
2023-06-21,09:44:00,126.09,126.1,125.8,125.83,213798.0
2023-06-21,09:45:00,125.83,125.86,125.47,125.51,245880.0
2023-06-21,09:46:00,125.5298,125.5298,125.26,125.44,209112.0
2023-06-21,09:47:00,125.43,125.7649,125.42,125.66,236784.0
2023-06-21,09:48:00,125.6524,125.67,125.38,125.52,180681.0
2023-06-21,09:49:00,125.53,125.82,125.44,125.73,236029.0
2023-06-21,09:50:00,125.7201,125.93,125.71,125.9,218551.0
2023-06-21,09:51:00,125.9009,126.19,125.73,125.91,464409.0
2023-06-21,09:52:00,125.82,125.92,125.79,125.83,146907.0
2023-06-21,09:53:00,125.82,125.875,125.64,125.85,168606.0
2023-06-21,09:54:00,125.87,125.99,125.78,125.905,170362.0
2023-06-21,09:55:00,125.9083,125.92,125.65,125.72,123057.0
2023-06-21,09:56:00,125.72,125.72,125.51,125.5318,125782.0
2023-06-21,09:57:00,125.54,125.56,125.4,125.5399,143356.0
2023-06-21,09:58:00,125.54,125.64,125.4357,125.58,129968.0
2023-06-21,09:59:00,125.58,125.6799,125.55,125.61,96202.0
2023-06-21,10:00:00,125.6,125.81,125.42,125.42,161243.0
2023-06-21,10:01:00,125.42,125.46,125.22,125.285,169113.0
2023-06-21,10:02:00,125.28,125.3,125.16,125.18,151736.0
2023-06-21,10:03:00,125.18,125.22,125.01,125.13,251351.0
2023-06-21,10:04:00,125.1414,125.345,125.1327,125.3199,238047.0
2023-06-21,10:05:00,125.3151,125.47,125.28,125.31,183385.0
2023-06-21,10:06:00,125.32,125.34,125.12,125.17,143493.0
2023-06-21,10:07:00,125.17,125.19,124.94,124.965,280966.0
2023-06-21,10:08:00,124.95,124.97,124.8006,124.8006,312357.0
2023-06-21,10:09:00,124.81,125.07,124.7501,124.91,206730.0
2023-06-21,10:10:00,124.91,124.97,124.73,124.7406,246950.0
2023-06-21,10:11:00,124.74,124.94,124.68,124.83,190621.0
2023-06-21,10:12:00,124.82,124.87,124.58,124.66,141649.0
2023-06-21,10:13:00,124.68,124.69,124.45,124.51,372353.0
2023-06-21,10:14:00,124.51,124.62,124.37,124.57,266171.0
2023-06-21,10:15:00,124.57,124.71,124.49,124.705,216607.0
2023-06-21,10:16:00,124.7,124.71,124.49,124.58,221246.0
2023-06-21,10:17:00,124.57,124.65,124.46,124.48,399770.0
2023-06-21,10:18:00,124.48,124.5,124.33,124.3564,347272.0
2023-06-21,10:19:00,124.35,124.38,124.13,124.195,455471.0
2023-06-21,10:20:00,124.19,124.52,124.16,124.39,240763.0
2023-06-21,10:21:00,124.4211,124.53,124.35,124.498,150027.0
2023-06-21,10:22:00,124.51,124.52,124.36,124.44,98784.0
2023-06-21,10:23:00,124.44,124.48,124.26,124.36,157016.0
2023-06-21,10:24:00,124.36,124.38,124.18,124.35,144092.0
2023-06-21,10:25:00,124.3587,124.36,124.18,124.33,131288.0
2023-06-21,10:26:00,124.33,124.33,124.1,124.25,182365.0
2023-06-21,10:27:00,124.26,124.4399,123.87,124.4001,184803.0
2023-06-21,10:28:00,124.4,124.4,124.12,124.13,128940.0
2023-06-21,10:29:00,124.13,124.14,123.87,124.1301,491115.0
2023-06-21,10:30:00,124.13,124.36,124.12,124.33,167683.0
2023-06-21,10:31:00,124.3232,124.345,124.21,124.28,70612.0
2023-06-21,10:32:00,124.2701,124.4578,124.2195,124.35,114407.0
2023-06-21,10:33:00,124.3503,124.44,124.31,124.41,65060.0
2023-06-21,10:34:00,124.405,124.56,124.405,124.48,106331.0
2023-06-21,10:35:00,124.46,124.6,124.355,124.428,112082.0
2023-06-21,10:36:00,124.43,124.48,124.335,124.3691,120012.0
2023-06-21,10:37:00,124.36,124.36,124.16,124.2799,105229.0
2023-06-21,10:38:00,124.28,124.57,124.21,124.57,117369.0
2023-06-21,10:39:00,124.56,124.7337,124.535,124.67,124161.0
2023-06-21,10:40:00,124.66,124.8,124.57,124.61,110009.0
2023-06-21,10:41:00,124.625,124.7971,124.6,124.78,96961.0
2023-06-21,10:42:00,124.775,124.8,124.62,124.68,111431.0
2023-06-21,10:43:00,124.68,124.8101,124.56,124.66,131445.0
2023-06-21,10:44:00,124.66,124.8799,124.61,124.68,164871.0
