Date,Time,Open,High,Low,Close,Volume
2023-06-21,04:02:00,184.75,184.75,184.75,184.75,1115.0
2023-06-21,04:04:00,184.71,184.71,184.71,184.71,962.0
2023-06-21,04:06:00,184.7,184.7,184.7,184.7,234.0
2023-06-21,04:07:00,184.7,184.73,184.7,184.73,957.0
2023-06-21,04:08:00,184.81,184.81,184.81,184.81,630.0
2023-06-21,04:11:00,184.81,184.82,184.81,184.82,714.0
2023-06-21,04:12:00,184.74,184.74,184.74,184.74,480.0
2023-06-21,04:29:00,184.75,184.75,184.75,184.75,677.0
2023-06-21,04:30:00,184.77,184.77,184.77,184.77,798.0
2023-06-21,04:34:00,184.81,184.81,184.8,184.81,661.0
2023-06-21,04:35:00,184.83,184.83,184.83,184.83,547.0
2023-06-21,04:42:00,184.82,184.82,184.8,184.8,854.0
2023-06-21,04:53:00,184.71,184.71,184.71,184.71,603.0
2023-06-21,05:13:00,184.79,184.79,184.79,184.79,102.0
2023-06-21,05:24:00,184.71,184.71,184.7,184.7,1356.0
2023-06-21,05:49:00,184.8,184.8,184.8,184.8,204.0
2023-06-21,06:18:00,184.7,184.7,184.7,184.7,436.0
2023-06-21,06:32:00,184.73,184.74,184.73,184.74,1507.0
2023-06-21,06:42:00,184.78,184.78,184.73,184.73,652.0
2023-06-21,06:46:00,184.72,184.72,184.71,184.72,2035.0
2023-06-21,07:00:00,184.81,184.88,184.81,184.86,11320.0
2023-06-21,07:01:00,184.81,184.81,184.79,184.8,2466.0
2023-06-21,07:02:00,184.8,184.81,184.8,184.81,1005.0
2023-06-21,07:03:00,184.82,184.82,184.77,184.8,2419.0
2023-06-21,07:05:00,184.76,184.8,184.74,184.74,2224.0
2023-06-21,07:06:00,184.71,184.71,184.7,184.7,1191.0
2023-06-21,07:07:00,184.7,184.79,184.7,184.79,1686.0
2023-06-21,07:10:00,184.74,184.74,184.73,184.73,852.0
2023-06-21,07:12:00,184.77,184.77,184.77,184.77,428.0
2023-06-21,07:14:00,184.72,184.72,184.72,184.72,705.0
2023-06-21,07:15:00,184.72,184.72,184.7,184.7,1708.0
2023-06-21,07:16:00,184.7,184.7,184.67,184.67,4592.0
2023-06-21,07:17:00,184.67,184.67,184.67,184.67,403.0
2023-06-21,07:23:00,184.69,184.69,184.69,184.69,410.0
2023-06-21,07:24:00,184.68,184.68,184.66,184.66,1731.0
2023-06-21,07:25:00,184.7,184.7,184.7,184.7,580.0
2023-06-21,07:26:00,184.66,184.66,184.65,184.65,946.0
2023-06-21,07:28:00,184.69,184.69,184.69,184.69,162.0
2023-06-21,07:29:00,184.68,184.68,184.62,184.62,1912.0
2023-06-21,07:30:00,184.63,184.63,184.6,184.6,3360.0
2023-06-21,07:35:00,184.6,184.6,184.6,184.6,869.0
2023-06-21,07:37:00,184.6,184.6,184.6,184.6,516.0
2023-06-21,07:38:00,184.6,184.6,184.6,184.6,237.0
2023-06-21,07:39:00,184.6,184.6,184.56,184.56,2906.0
2023-06-21,07:40:00,184.5,184.57,184.5,184.57,2054.0
2023-06-21,07:42:00,184.6,184.6,184.6,184.6,2124.0
2023-06-21,07:45:00,184.65,184.65,184.65,184.65,368.0
2023-06-21,07:53:00,184.7,184.7,184.7,184.7,194.0
2023-06-21,07:55:00,184.75,184.75,184.75,184.75,305.0
2023-06-21,07:56:00,184.75,184.75,184.75,184.75,2002.0
2023-06-21,07:59:00,184.7,184.71,184.7,184.7,1783.0
2023-06-21,08:00:00,184.7015,185.01,184.51,185.01,26226.0
2023-06-21,08:01:00,184.65,185.1,183.93,184.82,19366.0
2023-06-21,08:02:00,184.06,184.9,183.93,184.86,15073.0
2023-06-21,08:03:00,184.88,184.88,184.3,184.56,1253.0
2023-06-21,08:04:00,184.57,184.68,184.57,184.68,9762.0
2023-06-21,08:05:00,184.56,184.56,184.56,184.56,1049.0
2023-06-21,08:06:00,184.57,184.57,184.55,184.55,2240.0
2023-06-21,08:07:00,184.56,184.56,184.52,184.56,2290.0
2023-06-21,08:09:00,184.64,184.64,184.61,184.61,1746.0
2023-06-21,08:11:00,184.6388,184.6388,184.56,184.56,1438.0
2023-06-21,08:12:00,184.56,184.56,184.33,184.33,13051.0
2023-06-21,08:13:00,184.34,184.4,184.34,184.4,3916.0
2023-06-21,08:14:00,184.47,184.48,184.47,184.48,2620.0
2023-06-21,08:15:00,184.42,184.43,184.39,184.39,4677.0
2023-06-21,08:16:00,184.42,184.42,184.4,184.41,1334.0
2023-06-21,08:17:00,184.5378,184.5408,184.51,184.51,1533.0
2023-06-21,08:18:00,184.52,184.52,184.5,184.52,3852.0
2023-06-21,08:19:00,184.44,184.44,184.44,184.44,760.0
2023-06-21,08:20:00,184.54,184.63,184.54,184.59,4895.0
2023-06-21,08:21:00,184.58,184.58,184.37,184.41,9150.0
2023-06-21,08:22:00,184.42,184.42,184.42,184.42,1489.0
2023-06-21,08:23:00,184.42,184.43,184.39,184.43,4252.0
2023-06-21,08:24:00,184.48,184.48,184.4,184.4,1460.0
2023-06-21,08:25:00,184.4,184.42,184.29,184.29,5067.0
2023-06-21,08:26:00,184.3081,184.47,184.29,184.47,5373.0
2023-06-21,08:27:00,184.35,184.35,184.2,184.21,17228.0
2023-06-21,08:28:00,184.22,184.36,184.21,184.34,6349.0
2023-06-21,08:29:00,184.31,184.31,184.21,184.22,7921.0
2023-06-21,08:30:00,184.22,184.46,184.15,184.38,18501.0
2023-06-21,08:32:00,184.37,184.37,184.27,184.27,794.0
2023-06-21,08:33:00,184.37,184.37,184.3,184.37,6454.0
2023-06-21,08:34:00,184.3,184.3,184.25,184.25,3304.0
2023-06-21,08:35:00,184.29,184.29,184.19,184.19,5298.0
2023-06-21,08:36:00,184.19,184.19,184.12,184.16,6004.0
2023-06-21,08:37:00,184.16,184.29,184.1594,184.29,6539.0
2023-06-21,08:38:00,184.29,184.29,184.25,184.27,4341.0
2023-06-21,08:39:00,184.27,184.3,184.27,184.3,2923.0
2023-06-21,08:40:00,184.26,184.34,184.26,184.34,2128.0
2023-06-21,08:41:00,184.29,184.38,184.27,184.38,14202.0
2023-06-21,08:42:00,184.37,184.45,184.34,184.39,18185.0
2023-06-21,08:43:00,184.37,184.37,184.26,184.26,13145.0
2023-06-21,08:45:00,184.38,184.38,184.27,184.2724,1001.0
2023-06-21,08:46:00,184.3,184.3,184.3,184.3,404.0
2023-06-21,08:47:00,184.31,184.43,184.31,184.4,3034.0
2023-06-21,08:48:00,184.4,184.4,184.32,184.33,4099.0
2023-06-21,08:49:00,184.4273,184.43,184.4273,184.43,2351.0
2023-06-21,08:50:00,184.35,184.35,184.35,184.35,1255.0
2023-06-21,08:52:00,184.34,184.34,184.31,184.31,2904.0
2023-06-21,08:54:00,184.33,184.33,184.3,184.31,2937.0
2023-06-21,08:56:00,184.4568,184.47,184.4568,184.47,1237.0
2023-06-21,08:57:00,184.43,184.43,184.43,184.43,1185.0
2023-06-21,08:58:00,184.41,184.41,184.41,184.41,343.0
2023-06-21,08:59:00,184.38,184.38,184.32,184.32,1754.0
2023-06-21,09:00:00,184.34,184.35,184.34,184.35,1531.0
2023-06-21,09:01:00,184.35,184.37,184.35,184.37,923.0
2023-06-21,09:02:00,184.38,184.38,184.28,184.28,5658.0
2023-06-21,09:03:00,184.3,184.35,184.25,184.33,7698.0
2023-06-21,09:04:00,184.3999,184.3999,184.34,184.34,1094.0
2023-06-21,09:05:00,184.33,184.33,184.31,184.33,3220.0
2023-06-21,09:06:00,184.32,184.32,184.26,184.26,1588.0
2023-06-21,09:07:00,184.26,184.26,184.16,184.24,9887.0
2023-06-21,09:08:00,184.21,184.2991,184.21,184.2401,1321.0
2023-06-21,09:09:00,184.24,184.24,184.24,184.24,1235.0
2023-06-21,09:10:00,184.251,184.31,184.251,184.31,1497.0
2023-06-21,09:12:00,184.35,184.35,184.35,184.35,725.0
2023-06-21,09:13:00,184.37,184.37,184.31,184.3489,4448.0
2023-06-21,09:14:00,184.31,184.31,184.31,184.31,466.0
2023-06-21,09:15:00,184.3729,184.41,184.3729,184.41,2618.0
2023-06-21,09:16:00,184.42,184.43,184.39,184.39,2293.0
2023-06-21,09:17:00,184.35,184.35,184.35,184.35,540.0
2023-06-21,09:18:00,184.32,184.4088,184.32,184.38,2459.0
2023-06-21,09:19:00,184.37,184.37,184.33,184.33,2953.0
2023-06-21,09:20:00,184.36,184.38,184.36,184.38,772.0
2023-06-21,09:21:00,184.4,184.42,184.32,184.32,4187.0
2023-06-21,09:22:00,184.34,184.34,184.32,184.32,2733.0
2023-06-21,09:23:00,184.4,184.4,184.39,184.39,616.0
2023-06-21,09:24:00,184.36,184.3998,184.36,184.39,2802.0
2023-06-21,09:25:00,184.42,184.6,184.42,184.55,10015.0
2023-06-21,09:26:00,184.58,184.6,184.58,184.6,2692.0
2023-06-21,09:27:00,184.6,184.84,184.6,184.73,11030.0
2023-06-21,09:28:00,184.82,184.93,184.77,184.8,17715.0
2023-06-21,09:29:00,184.8,184.97,184.78,184.9,41147.0
2023-06-21,09:30:00,184.9,184.9,184.57,184.76,944448.0
2023-06-21,09:31:00,184.76,185.04,184.75,184.985,302098.0
2023-06-21,09:32:00,185.01,185.2,184.96,184.9701,271515.0
2023-06-21,09:33:00,184.99,185.2299,184.91,185.2012,179950.0
2023-06-21,09:34:00,185.2101,185.35,185.17,185.325,189613.0
2023-06-21,09:35:00,185.325,185.37,185.0402,185.13,150341.0
2023-06-21,09:36:00,185.1299,185.37,185.12,185.235,168000.0
2023-06-21,09:37:00,185.228,185.32,185.17,185.25,103233.0
2023-06-21,09:38:00,185.25,185.39,185.22,185.28,140962.0
2023-06-21,09:39:00,185.26,185.27,185.125,185.175,169261.0
2023-06-21,09:40:00,185.2,185.41,185.07,185.31,244586.0
2023-06-21,09:41:00,185.3139,185.34,185.19,185.26,131996.0
2023-06-21,09:42:00,185.2666,185.29,185.1,185.11,127468.0
2023-06-21,09:43:00,185.11,185.28,184.97,185.25,222506.0
2023-06-21,09:44:00,185.25,185.2641,185.09,185.19,111570.0
2023-06-21,09:45:00,185.2,185.2115,184.91,184.95,130428.0
2023-06-21,09:46:00,184.96,184.97,184.82,184.9318,185835.0
2023-06-21,09:47:00,184.95,185.1,184.9,184.91,112541.0
2023-06-21,09:48:00,184.912,184.99,184.83,184.86,107990.0
2023-06-21,09:49:00,184.855,184.8701,184.71,184.715,136081.0
2023-06-21,09:50:00,184.715,184.81,184.6502,184.67,163285.0
2023-06-21,09:51:00,184.67,184.68,184.36,184.415,440074.0
2023-06-21,09:52:00,184.41,184.45,184.31,184.35,202929.0
2023-06-21,09:53:00,184.355,184.43,184.3,184.38,173197.0
2023-06-21,09:54:00,184.38,184.4,184.12,184.14,183676.0
2023-06-21,09:55:00,184.13,184.27,184.04,184.06,183473.0
2023-06-21,09:56:00,184.06,184.12,184.01,184.05,247514.0
2023-06-21,09:57:00,184.05,184.05,183.92,183.97,371290.0
2023-06-21,09:58:00,183.975,184.05,183.88,183.95,203757.0
2023-06-21,09:59:00,183.945,184.12,183.89,184.11,139995.0
2023-06-21,10:00:00,184.1,184.17,183.97,183.99,154539.0
2023-06-21,10:01:00,183.98,184.025,183.87,183.895,179762.0
2023-06-21,10:02:00,183.9,184.01,183.88,183.995,220903.0
2023-06-21,10:03:00,183.999,184.09,183.94,184.09,119266.0
2023-06-21,10:04:00,184.0801,184.13,184.0,184.08,89238.0
2023-06-21,10:05:00,184.08,184.28,184.03,184.15,186969.0
2023-06-21,10:06:00,184.14,184.16,184.04,184.15,83189.0
2023-06-21,10:07:00,184.12,184.15,184.02,184.13,111610.0
2023-06-21,10:08:00,184.13,184.14,184.0,184.0584,84792.0
2023-06-21,10:09:00,184.05,184.13,183.98,184.07,98976.0
2023-06-21,10:10:00,184.06,184.085,183.88,183.945,159920.0
2023-06-21,10:11:00,183.94,184.09,183.8904,184.05,106289.0
2023-06-21,10:12:00,184.03,184.18,184.03,184.09,101246.0
2023-06-21,10:13:00,184.1,184.1682,184.04,184.1,79282.0
2023-06-21,10:14:00,184.09,184.2,184.06,184.18,113504.0
2023-06-21,10:15:00,184.18,184.41,184.12,184.385,154994.0
2023-06-21,10:16:00,184.4,184.41,184.21,184.26,123191.0
2023-06-21,10:17:00,184.26,184.31,184.17,184.29,86386.0
2023-06-21,10:18:00,184.295,184.37,184.2012,184.22,75671.0
2023-06-21,10:19:00,184.22,184.235,184.11,184.11,80785.0
2023-06-21,10:20:00,184.12,184.1699,184.06,184.1,103373.0
2023-06-21,10:21:00,184.115,184.26,184.08,184.2292,64204.0
2023-06-21,10:22:00,184.24,184.33,184.205,184.2716,87545.0
2023-06-21,10:23:00,184.28,184.33,184.18,184.24,71955.0
2023-06-21,10:24:00,184.24,184.24,184.14,184.18,44917.0
2023-06-21,10:25:00,184.175,184.27,184.11,184.26,89062.0
2023-06-21,10:26:00,184.26,184.29,184.14,184.1899,129907.0
2023-06-21,10:27:00,184.1987,184.24,184.1367,184.2,218726.0
2023-06-21,10:28:00,184.19,184.2,184.0301,184.0576,88242.0
2023-06-21,10:29:00,184.06,184.12,183.99,184.12,153745.0
2023-06-21,10:30:00,184.11,184.14,184.02,184.065,121697.0
2023-06-21,10:31:00,184.06,184.1,184.01,184.02,76320.0
2023-06-21,10:32:00,184.03,184.03,183.92,183.94,104988.0
2023-06-21,10:33:00,183.94,184.0,183.86,183.94,127748.0
2023-06-21,10:34:00,183.94,184.09,183.94,183.97,136030.0
2023-06-21,10:35:00,183.95,183.95,183.86,183.88,180400.0
2023-06-21,10:36:00,183.875,183.9,183.72,183.73,276750.0
2023-06-21,10:37:00,183.73,183.73,183.6,183.67,171491.0
2023-06-21,10:38:00,183.67,183.8,183.62,183.795,95946.0
2023-06-21,10:39:00,183.7901,183.9299,183.75,183.89,84153.0
2023-06-21,10:40:00,183.8999,183.95,183.81,183.81,93819.0
2023-06-21,10:41:00,183.82,183.93,183.78,183.93,70671.0
2023-06-21,10:42:00,183.92,183.97,183.7999,183.815,70330.0
2023-06-21,10:43:00,183.82,183.825,183.68,183.6827,72473.0
2023-06-21,10:44:00,183.6804,183.81,183.63,183.66,107584.0
2023-06-21,10:45:00,183.64,183.78,183.49,183.49,196025.0
2023-06-21,10:46:00,183.485,183.52,183.401,183.44,93468.0
2023-06-21,10:47:00,183.4325,183.65,183.42,183.6384,126826.0
2023-06-21,10:48:00,183.64,183.66,183.482,183.49,65348.0
2023-06-21,10:49:00,183.49,183.53,183.42,183.44,99573.0
2023-06-21,10:50:00,183.44,183.47,183.27,183.33,127936.0
2023-06-21,10:51:00,183.33,183.5,183.33,183.39,118103.0
2023-06-21,10:52:00,183.39,183.445,183.285,183.3038,75797.0
2023-06-21,10:53:00,183.315,183.3599,183.29,183.3,54852.0
2023-06-21,10:54:00,183.29,183.44,183.2,183.431,233151.0
2023-06-21,10:55:00,183.43,183.62,183.4199,183.61,115752.0
2023-06-21,10:56:00,183.6,183.625,183.481,183.62,119144.0
2023-06-21,10:57:00,183.63,183.63,183.49,183.52,64919.0
2023-06-21,10:58:00,183.51,183.56,183.44,183.48,94883.0
2023-06-21,10:59:00,183.48,183.58,183.475,183.495,142988.0
2023-06-21,11:00:00,183.5,183.565,183.42,183.46,131571.0
2023-06-21,11:01:00,183.46,183.59,183.41,183.57,96263.0
2023-06-21,11:02:00,183.57,183.59,183.4804,183.56,104259.0
2023-06-21,11:03:00,183.5605,183.63,183.47,183.5899,99945.0
2023-06-21,11:04:00,183.58,183.63,183.52,183.62,95956.0
2023-06-21,11:05:00,183.63,183.65,183.49,183.54,97599.0
2023-06-21,11:06:00,183.55,183.58,183.42,183.45,140822.0
2023-06-21,11:07:00,183.45,183.47,183.29,183.32,116842.0
2023-06-21,11:08:00,183.32,183.32,183.1801,183.23,211340.0
2023-06-21,11:09:00,183.225,183.27,183.1201,183.1399,113606.0
2023-06-21,11:10:00,183.125,183.15,183.03,183.072,279681.0
2023-06-21,11:11:00,183.08,183.11,182.91,182.99,368910.0
2023-06-21,11:12:00,183.0,183.05,182.91,182.91,112665.0
2023-06-21,11:13:00,182.91,182.99,182.85,182.94,134155.0
2023-06-21,11:14:00,182.93,183.005,182.92,182.96,74802.0
2023-06-21,11:15:00,182.965,182.98,182.835,182.85,104787.0
2023-06-21,11:16:00,182.85,182.9199,182.81,182.9075,99049.0
2023-06-21,11:17:00,182.91,182.95,182.855,182.95,96822.0
2023-06-21,11:18:00,182.95,182.95,182.78,182.78,83528.0
2023-06-21,11:19:00,182.7801,182.79,182.6,182.6,171261.0
2023-06-21,11:20:00,182.6,182.9,182.5901,182.86,248186.0
2023-06-21,11:21:00,182.85,182.99,182.83,182.95,125253.0
2023-06-21,11:22:00,182.96,182.97,182.77,182.8049,64192.0
2023-06-21,11:23:00,182.8,182.86,182.77,182.8114,97777.0
2023-06-21,11:24:00,182.81,182.85,182.76,182.83,112996.0
2023-06-21,11:25:00,182.835,182.95,182.835,182.93,68322.0
2023-06-21,11:26:00,182.93,182.97,182.8384,182.8384,57176.0
2023-06-21,11:27:00,182.835,182.9375,182.81,182.9199,82723.0
2023-06-21,11:28:00,182.9,182.98,182.8995,182.9299,96536.0
2023-06-21,11:29:00,182.925,183.14,182.92,183.14,144735.0
2023-06-21,11:30:00,183.13,183.165,183.085,183.115,81019.0
2023-06-21,11:31:00,183.12,183.24,183.12,183.19,89869.0
2023-06-21,11:32:00,183.19,183.325,183.19,183.28,93513.0
2023-06-21,11:33:00,183.27,183.3,183.18,183.291,82681.0
2023-06-21,11:34:00,183.295,183.323,183.25,183.305,60070.0
2023-06-21,11:35:00,183.31,183.505,183.3,183.49,139594.0
2023-06-21,11:36:00,183.48,183.55,183.43,183.5023,107438.0
2023-06-21,11:37:00,183.5099,183.67,183.5089,183.65,140465.0
2023-06-21,11:38:00,183.66,183.71,183.58,183.67,117229.0
2023-06-21,11:39:00,183.68,183.75,183.6209,183.69,82135.0
2023-06-21,11:40:00,183.69,183.78,183.65,183.7456,95371.0
2023-06-21,11:41:00,183.74,183.82,183.71,183.75,135659.0
2023-06-21,11:42:00,183.75,183.79,183.62,183.62,106536.0
2023-06-21,11:43:00,183.62,183.66,183.58,183.61,73823.0
2023-06-21,11:44:00,183.615,183.615,183.495,183.5,82935.0
2023-06-21,11:45:00,183.5037,183.52,183.43,183.52,67757.0
2023-06-21,11:46:00,183.5285,183.5591,183.43,183.43,68533.0
2023-06-21,11:47:00,183.43,183.505,183.43,183.46,58874.0
2023-06-21,11:48:00,183.47,183.5,183.44,183.4895,65468.0
2023-06-21,11:49:00,183.49,183.505,183.45,183.5,35263.0
2023-06-21,11:50:00,183.495,183.5,183.42,183.4487,74661.0
2023-06-21,11:51:00,183.44,183.4499,183.32,183.39,184757.0
2023-06-21,11:52:00,183.39,183.45,183.37,183.39,40538.0
2023-06-21,11:53:00,183.3972,183.3972,183.2909,183.296,55077.0
2023-06-21,11:54:00,183.3,183.3,183.23,183.23,76480.0
2023-06-21,11:55:00,183.22,183.2597,183.1788,183.25,55664.0
2023-06-21,11:56:00,183.24,183.3,183.17,183.23,49266.0
2023-06-21,11:57:00,183.24,183.3,183.22,183.2482,41396.0
2023-06-21,11:58:00,183.24,183.3,183.2,183.205,38475.0
2023-06-21,11:59:00,183.2001,183.265,183.18,183.26,60160.0
2023-06-21,12:00:00,183.2531,183.37,183.16,183.17,156719.0
2023-06-21,12:01:00,183.17,183.2205,183.14,183.19,60689.0
2023-06-21,12:02:00,183.195,183.29,183.195,183.24,85111.0
2023-06-21,12:03:00,183.24,183.26,183.17,183.2,52066.0
2023-06-21,12:04:00,183.2,183.26,183.19,183.25,50035.0
2023-06-21,12:05:00,183.25,183.36,183.21,183.35,124839.0
2023-06-21,12:06:00,183.34,183.39,183.31,183.3201,80781.0
2023-06-21,12:07:00,183.32,183.3699,183.27,183.2801,54186.0
2023-06-21,12:08:00,183.27,183.35,183.225,183.305,51398.0
2023-06-21,12:09:00,183.3081,183.375,183.29,183.3,61929.0
2023-06-21,12:10:00,183.3,183.37,183.27,183.37,35645.0
2023-06-21,12:11:00,183.37,183.42,183.345,183.35,44812.0
2023-06-21,12:12:00,183.36,183.44,183.36,183.44,39422.0
2023-06-21,12:13:00,183.445,183.495,183.435,183.495,47746.0
2023-06-21,12:14:00,183.5,183.595,183.5,183.555,71896.0
2023-06-21,12:15:00,183.5533,183.735,183.55,183.73,89534.0
2023-06-21,12:16:00,183.74,183.81,183.68,183.79,52129.0
2023-06-21,12:17:00,183.8,183.87,183.77,183.84,87221.0
2023-06-21,12:18:00,183.8488,183.89,183.77,183.85,85644.0
2023-06-21,12:19:00,183.845,183.86,183.76,183.78,50938.0
2023-06-21,12:20:00,183.78,183.86,183.72,183.74,70309.0
2023-06-21,12:21:00,183.735,183.91,183.7199,183.885,135268.0
2023-06-21,12:22:00,183.89,183.98,183.875,183.975,92086.0
2023-06-21,12:23:00,183.98,183.98,183.9,183.915,48920.0
2023-06-21,12:24:00,183.92,183.93,183.8849,183.905,55305.0
2023-06-21,12:25:00,183.9084,183.98,183.89,183.9799,79183.0
2023-06-21,12:26:00,183.9601,184.05,183.95,184.0,130283.0
2023-06-21,12:27:00,184.0,184.0763,183.99,184.04,63066.0
2023-06-21,12:28:00,184.04,184.05,183.95,183.9584,74129.0
2023-06-21,12:29:00,183.96,184.08,183.95,184.065,89632.0
2023-06-21,12:30:00,184.07,184.16,184.04,184.06,101483.0
2023-06-21,12:31:00,184.0579,184.13,184.011,184.115,54594.0
2023-06-21,12:32:00,184.1168,184.1815,184.11,184.1457,77006.0
2023-06-21,12:33:00,184.15,184.2,184.135,184.19,88779.0
2023-06-21,12:34:00,184.19,184.28,184.065,184.08,184340.0
2023-06-21,12:35:00,184.07,184.07,183.97,184.005,92810.0
2023-06-21,12:36:00,184.0079,184.04,183.94,184.0,64294.0
2023-06-21,12:37:00,184.01,184.09,184.01,184.08,94979.0
2023-06-21,12:38:00,184.0774,184.08,184.0036,184.035,63856.0
2023-06-21,12:39:00,184.03,184.09,184.02,184.08,95641.0
2023-06-21,12:40:00,184.08,184.1199,184.0416,184.055,49930.0
2023-06-21,12:41:00,184.05,184.09,184.02,184.0601,84465.0
2023-06-21,12:42:00,184.0584,184.14,184.04,184.13,33956.0
2023-06-21,12:43:00,184.13,184.18,184.1,184.145,57181.0
2023-06-21,12:44:00,184.14,184.14,184.08,184.11,43436.0
2023-06-21,12:45:00,184.11,184.11,183.87,183.88,94351.0
2023-06-21,12:46:00,183.8801,184.04,183.88,184.025,74422.0
2023-06-21,12:47:00,184.02,184.06,183.98,184.06,57283.0
2023-06-21,12:48:00,184.06,184.09,184.0,184.06,50439.0
2023-06-21,12:49:00,184.05,184.09,184.0,184.01,38258.0
2023-06-21,12:50:00,184.03,184.12,184.01,184.1051,50015.0
2023-06-21,12:51:00,184.11,184.13,184.035,184.13,40438.0
2023-06-21,12:52:00,184.13,184.21,184.0719,184.21,64490.0
2023-06-21,12:53:00,184.2,184.21,184.1201,184.1392,51147.0
2023-06-21,12:54:00,184.13,184.15,184.07,184.13,49263.0
2023-06-21,12:55:00,184.11,184.17,184.11,184.12,52251.0
2023-06-21,12:56:00,184.12,184.18,184.05,184.08,89455.0
2023-06-21,12:57:00,184.09,184.1295,184.0495,184.1013,58136.0
2023-06-21,12:58:00,184.1,184.275,184.1,184.2459,89947.0
2023-06-21,12:59:00,184.26,184.34,184.22,184.24,74773.0
2023-06-21,13:00:00,184.23,184.24,184.11,184.15,50457.0
2023-06-21,13:01:00,184.13,184.145,184.0,184.1185,88679.0
2023-06-21,13:02:00,184.11,184.15,184.005,184.005,52798.0
2023-06-21,13:03:00,184.0,184.1,184.0,184.09,39365.0
2023-06-21,13:04:00,184.07,184.23,184.07,184.23,64060.0
2023-06-21,13:05:00,184.225,184.27,184.19,184.22,78052.0
2023-06-21,13:06:00,184.21,184.25,184.18,184.19,33483.0
2023-06-21,13:07:00,184.1801,184.185,184.0631,184.0631,43527.0
2023-06-21,13:08:00,184.07,184.23,184.07,184.21,53315.0
2023-06-21,13:09:00,184.21,184.21,184.14,184.18,31865.0
2023-06-21,13:10:00,184.185,184.24,184.15,184.24,41570.0
2023-06-21,13:11:00,184.23,184.23,184.11,184.175,52155.0
2023-06-21,13:12:00,184.17,184.18,184.0701,184.08,50265.0
2023-06-21,13:13:00,184.08,184.14,184.06,184.06,31321.0
2023-06-21,13:14:00,184.07,184.08,184.04,184.065,29021.0
2023-06-21,13:15:00,184.06,184.11,184.03,184.09,46265.0
2023-06-21,13:16:00,184.0952,184.17,184.09,184.1,42223.0
2023-06-21,13:17:00,184.1006,184.17,184.1006,184.12,27892.0
2023-06-21,13:18:00,184.11,184.13,184.08,184.11,24833.0
2023-06-21,13:19:00,184.12,184.12,184.08,184.1027,26038.0
2023-06-21,13:20:00,184.105,184.105,184.04,184.0423,31061.0
2023-06-21,13:21:00,184.05,184.08,184.01,184.0383,37692.0
2023-06-21,13:22:00,184.03,184.06,183.99,184.01,58624.0
2023-06-21,13:23:00,184.0,184.06,183.97,184.05,51319.0
2023-06-21,13:24:00,184.06,184.1,184.02,184.0356,53857.0
2023-06-21,13:25:00,184.0416,184.175,184.01,184.16,90791.0
2023-06-21,13:26:00,184.1489,184.15,184.09,184.145,37773.0
2023-06-21,13:27:00,184.14,184.2,184.1309,184.14,47165.0
2023-06-21,13:28:00,184.141,184.1901,184.1201,184.19,27265.0
2023-06-21,13:29:00,184.18,184.2,184.1101,184.13,28392.0
2023-06-21,13:30:00,184.1103,184.17,184.1103,184.125,26439.0
2023-06-21,13:31:00,184.12,184.22,184.11,184.2,35167.0
2023-06-21,13:32:00,184.2,184.255,184.1713,184.25,65860.0
2023-06-21,13:33:00,184.26,184.3,184.2294,184.295,45857.0
