Date,Time,Open,High,Low,Close,Volume
2023-06-21,04:05:00,122.95,122.95,122.95,122.95,308.0
2023-06-21,04:06:00,122.99,122.99,122.99,122.99,331.0
2023-06-21,04:07:00,123.02,123.02,123.02,123.02,858.0
2023-06-21,04:10:00,122.98,122.98,122.98,122.98,530.0
2023-06-21,04:11:00,123.16,123.16,123.16,123.16,424.0
2023-06-21,04:13:00,123.16,123.16,123.16,123.16,535.0
2023-06-21,04:24:00,123.3,123.3,123.3,123.3,469.0
2023-06-21,04:26:00,123.2,123.2,123.2,123.2,1057.0
2023-06-21,04:37:00,123.21,123.21,123.21,123.21,254.0
2023-06-21,04:50:00,123.2,123.2,123.2,123.2,720.0
2023-06-21,04:53:00,123.12,123.12,123.12,123.12,227.0
2023-06-21,05:17:00,123.07,123.07,123.07,123.07,287.0
2023-06-21,05:18:00,123.05,123.05,123.05,123.05,443.0
2023-06-21,05:19:00,123.05,123.05,123.05,123.05,302.0
2023-06-21,05:21:00,123.1,123.1,123.1,123.1,1011.0
2023-06-21,05:23:00,123.05,123.05,123.05,123.05,285.0
2023-06-21,05:28:00,123.02,123.02,123.02,123.02,428.0
2023-06-21,05:42:00,123.1,123.1,123.1,123.1,550.0
2023-06-21,06:25:00,123.1,123.1,123.1,123.1,388.0
2023-06-21,06:26:00,123.02,123.02,123.02,123.02,308.0
2023-06-21,06:58:00,123.05,123.05,123.05,123.05,191.0
2023-06-21,07:01:00,123.14,123.2,123.14,123.2,1831.0
2023-06-21,07:02:00,123.1,123.1,123.1,123.1,180.0
2023-06-21,07:03:00,123.05,123.05,123.0,123.0,1292.0
2023-06-21,07:04:00,123.05,123.05,123.05,123.05,1270.0
2023-06-21,07:05:00,122.97,122.97,122.97,122.97,581.0
2023-06-21,07:06:00,123.0,123.0,122.9,122.9,1470.0
2023-06-21,07:08:00,122.98,123.0,122.98,122.98,1230.0
2023-06-21,07:09:00,122.99,122.99,122.99,122.99,1087.0
2023-06-21,07:10:00,123.02,123.02,123.02,123.02,684.0
2023-06-21,07:16:00,122.9,122.9,122.9,122.9,844.0
2023-06-21,07:19:00,122.81,122.81,122.81,122.81,321.0
2023-06-21,07:29:00,122.92,122.92,122.92,122.92,563.0
2023-06-21,07:30:00,122.9,122.9,122.9,122.9,867.0
2023-06-21,07:31:00,122.9,122.9,122.9,122.9,950.0
2023-06-21,07:35:00,122.87,122.87,122.87,122.87,1751.0
2023-06-21,07:37:00,122.89,122.91,122.89,122.9,2392.0
2023-06-21,07:40:00,122.79,122.79,122.79,122.79,1835.0
2023-06-21,07:48:00,122.91,122.91,122.89,122.89,689.0
2023-06-21,08:00:00,123.07,123.16,122.8679,123.1,9284.0
2023-06-21,08:01:00,123.1,123.27,122.78,122.9,7509.0
2023-06-21,08:02:00,123.09,123.21,122.89,123.21,2244.0
2023-06-21,08:03:00,122.83,122.83,122.83,122.83,697.0
2023-06-21,08:06:00,122.86,122.86,122.8,122.8,963.0
2023-06-21,08:08:00,122.82,122.85,122.82,122.85,1141.0
2023-06-21,08:09:00,122.83,122.94,122.83,122.88,3342.0
2023-06-21,08:10:00,122.89,122.89,122.84,122.84,926.0
2023-06-21,08:15:00,122.8,122.8,122.8,122.8,458.0
2023-06-21,08:18:00,122.83,122.83,122.83,122.83,589.0
2023-06-21,08:20:00,122.8,122.8,122.8,122.8,944.0
2023-06-21,08:21:00,122.8,122.8,122.72,122.72,2210.0
2023-06-21,08:22:00,122.78,122.78,122.78,122.78,466.0
2023-06-21,08:23:00,122.75,122.75,122.75,122.75,723.0
2023-06-21,08:25:00,122.68,122.68,122.68,122.68,858.0
2023-06-21,08:26:00,122.63,122.6319,122.63,122.6319,907.0
2023-06-21,08:27:00,122.63,122.63,122.58,122.59,1330.0
2023-06-21,08:28:00,122.64,122.64,122.64,122.64,1412.0
2023-06-21,08:29:00,122.7146,122.7146,122.7146,122.7146,635.0
2023-06-21,08:30:00,122.57,122.69,122.5,122.69,6371.0
2023-06-21,08:31:00,122.68,122.68,122.58,122.58,428.0
2023-06-21,08:35:00,122.61,122.61,122.61,122.61,540.0
2023-06-21,08:36:00,122.59,122.6893,122.56,122.6893,2362.0
2023-06-21,08:37:00,122.63,122.73,122.63,122.7,801547.0
2023-06-21,08:38:00,122.7,122.7,122.62,122.64,1949.0
2023-06-21,08:39:00,122.67,122.67,122.67,122.67,2856.0
2023-06-21,08:40:00,122.67,122.7,122.67,122.69,1358.0
2023-06-21,08:41:00,122.7,122.7,122.7,122.7,555.0
2023-06-21,08:43:00,122.69,122.69,122.69,122.69,343.0
2023-06-21,08:46:00,122.73,122.73,122.73,122.73,222.0
2023-06-21,08:47:00,122.76,122.76,122.71,122.71,1250.0
2023-06-21,08:49:00,122.69,122.69,122.69,122.69,1420.0
