Date,Time,Open,High,Low,Close,Volume
2023-06-21,04:00:00,43.774,43.82,43.698,43.82,33880.0
2023-06-21,04:02:00,43.73,43.73,43.706,43.706,18230.0
2023-06-21,04:04:00,43.725,43.725,43.725,43.725,8680.0
2023-06-21,04:05:00,43.73,43.73,43.659,43.659,20260.0
2023-06-21,04:06:00,43.67,43.67,43.67,43.67,7760.0
2023-06-21,04:07:00,43.7,43.7,43.7,43.7,8130.0
2023-06-21,04:08:00,43.71,43.71,43.71,43.71,15220.0
2023-06-21,04:09:00,43.705,43.705,43.705,43.705,5880.0
2023-06-21,04:11:00,43.739,43.778,43.739,43.778,19960.0
2023-06-21,04:12:00,43.778,43.778,43.778,43.778,7060.0
2023-06-21,04:14:00,43.737,43.737,43.737,43.737,4600.0
2023-06-21,04:17:00,43.75,43.75,43.75,43.75,9310.0
2023-06-21,04:21:00,43.756,43.756,43.756,43.756,4130.0
2023-06-21,04:22:00,43.76,43.78,43.76,43.78,7660.0
2023-06-21,04:23:00,43.8,43.825,43.8,43.825,14290.0
2023-06-21,04:24:00,43.825,43.826,43.825,43.826,10140.0
2023-06-21,04:25:00,43.822,43.822,43.822,43.822,4830.0
2023-06-21,04:26:00,43.822,43.822,43.82,43.82,8060.0
2023-06-21,04:27:00,43.848,43.848,43.848,43.848,6280.0
2023-06-21,04:29:00,43.83,43.83,43.83,43.83,4160.0
2023-06-21,04:30:00,43.847,43.847,43.847,43.847,4040.0
2023-06-21,04:31:00,43.869,43.875,43.869,43.875,4040.0
2023-06-21,04:33:00,43.89,43.89,43.89,43.89,3230.0
2023-06-21,04:34:00,43.918,43.918,43.918,43.918,15800.0
2023-06-21,04:35:00,43.982,43.982,43.92,43.92,19460.0
2023-06-21,04:36:00,43.945,43.945,43.942,43.942,10160.0
2023-06-21,04:37:00,43.923,43.923,43.913,43.913,9500.0
2023-06-21,04:40:00,43.904,43.904,43.902,43.902,4340.0
2023-06-21,04:42:00,43.92,43.92,43.92,43.92,5000.0
2023-06-21,04:43:00,43.895,43.895,43.886,43.886,15920.0
2023-06-21,04:45:00,43.899,43.918,43.886,43.886,17700.0
2023-06-21,04:46:00,43.89,43.89,43.866,43.866,13970.0
2023-06-21,04:49:00,43.889,43.889,43.883,43.883,19150.0
2023-06-21,04:50:00,43.887,43.889,43.887,43.889,5650.0
2023-06-21,04:51:00,43.869,43.869,43.869,43.869,3710.0
2023-06-21,04:54:00,43.844,43.844,43.844,43.844,4260.0
2023-06-21,04:55:00,43.84,43.84,43.84,43.84,6990.0
2023-06-21,05:02:00,43.826,43.826,43.826,43.826,3330.0
2023-06-21,05:03:00,43.825,43.825,43.805,43.805,17130.0
2023-06-21,05:04:00,43.803,43.803,43.803,43.803,19540.0
2023-06-21,05:05:00,43.847,43.85,43.847,43.85,46120.0
2023-06-21,05:08:00,43.827,43.827,43.825,43.825,6880.0
2023-06-21,05:12:00,43.833,43.833,43.833,43.833,6380.0
2023-06-21,05:18:00,43.833,43.833,43.833,43.833,10530.0
2023-06-21,05:19:00,43.806,43.806,43.805,43.805,5190.0
2023-06-21,05:20:00,43.801,43.801,43.801,43.801,9010.0
2023-06-21,05:21:00,43.791,43.808,43.791,43.808,14720.0
2023-06-21,05:24:00,43.751,43.751,43.73,43.73,9050.0
2023-06-21,05:27:00,43.738,43.738,43.738,43.738,2760.0
2023-06-21,05:30:00,43.808,43.808,43.808,43.808,5430.0
2023-06-21,05:45:00,43.82,43.82,43.82,43.82,4510.0
2023-06-21,05:46:00,43.849,43.849,43.849,43.849,3270.0
2023-06-21,05:52:00,43.838,43.842,43.838,43.842,3990.0
2023-06-21,05:56:00,43.82,43.82,43.81,43.81,15030.0
2023-06-21,06:03:00,43.79,43.79,43.79,43.79,2540.0
2023-06-21,06:05:00,43.788,43.788,43.788,43.788,6500.0
2023-06-21,06:06:00,43.799,43.8,43.799,43.8,4700.0
2023-06-21,06:13:00,43.818,43.818,43.818,43.818,2850.0
2023-06-21,06:14:00,43.819,43.82,43.819,43.82,5910.0
2023-06-21,06:19:00,43.8,43.8,43.8,43.8,7200.0
2023-06-21,06:21:00,43.801,43.801,43.801,43.801,2100.0
2023-06-21,06:25:00,43.804,43.804,43.804,43.804,3180.0
2023-06-21,06:26:00,43.8,43.8,43.8,43.8,6030.0
2023-06-21,06:32:00,43.8,43.8,43.8,43.8,9560.0
2023-06-21,06:33:00,43.795,43.795,43.795,43.795,4400.0
2023-06-21,06:37:00,43.78,43.78,43.78,43.78,41700.0
2023-06-21,06:38:00,43.77,43.77,43.76,43.76,7480.0
2023-06-21,06:46:00,43.718,43.718,43.71,43.71,5990.0
2023-06-21,06:51:00,43.728,43.728,43.728,43.728,8570.0
2023-06-21,06:55:00,43.706,43.707,43.705,43.705,26220.0
2023-06-21,06:58:00,43.665,43.666,43.66,43.66,16200.0
2023-06-21,06:59:00,43.68,43.68,43.67,43.67,7440.0
2023-06-21,07:00:00,43.67,43.745,43.67,43.745,40770.0
2023-06-21,07:01:00,43.74,43.757,43.74,43.757,26150.0
2023-06-21,07:02:00,43.752,43.752,43.739,43.74,33130.0
2023-06-21,07:03:00,43.724,43.73,43.724,43.73,14820.0
2023-06-21,07:04:00,43.712,43.72,43.712,43.72,28710.0
2023-06-21,07:06:00,43.705,43.705,43.685,43.7,46330.0
2023-06-21,07:07:00,43.69,43.692,43.69,43.692,8510.0
2023-06-21,07:08:00,43.7,43.803,43.692,43.71,71800.0
2023-06-21,07:09:00,43.742,43.742,43.728,43.739,21360.0
2023-06-21,07:10:00,43.741,43.741,43.741,43.741,10620.0
2023-06-21,07:11:00,43.714,43.718,43.689,43.692,27070.0
2023-06-21,07:12:00,43.707,43.707,43.707,43.707,11700.0
2023-06-21,07:14:00,43.691,43.691,43.67,43.67,37050.0
2023-06-21,07:15:00,43.667,43.667,43.645,43.645,60390.0
2023-06-21,07:16:00,43.645,43.65,43.623,43.65,30900.0
2023-06-21,07:18:00,43.67,43.671,43.665,43.665,16420.0
2023-06-21,07:19:00,43.655,43.655,43.65,43.65,12650.0
